"country","gdp_imf","population","hdi","gdp_per_capita","log_gdp","log_population","log_gdp_per_capita","hdi_category"
"Kazakhstan",300052,20478879,0.837,14651.7785470582,12.6117110719512,16.8349046203094,9.59231700960609,"High"
"Algeria",288013,47400000,0.763,6076.22362869198,12.5707608969882,17.6741327866653,8.71213866828721,"High"
"Nigeria",285003,223800000,0.56,1273.47184986595,12.5602549855112,19.2262633538421,7.14950218963335,"Medium"
"Greece",282019,10372335,0.908,27189.5383247841,12.5497297235371,16.1546527236151,10.2105875578863,"High"
"Iraq",265455,46118793,0.695,5755.89651706626,12.4892006137734,17.646731082164,8.65798008957363,"Medium"
"New Zealand",262909,5334200,0.938,49287.4282929024,12.4795632436809,15.4896494783343,10.8054243233109,"High"
"Hungary",247759,9539502,0.87,25971.9008392681,12.4202117784749,16.0709518408041,10.1647704956351,"High"
"Qatar",222119,3173024,0.886,70002.306947568,12.3109685532745,14.9701956343565,11.1562834768823,"High"
"Ukraine",209713,32862000,0.779,6381.62619438866,12.2534952082923,17.3078275329939,8.76117823326266,"High"
"Morocco",179612,36828330,0.71,4877.00636982453,12.098554247763,17.4217779439232,8.49228686180404,"High"
"Kuwait",157469,4881254,0.852,32259.9479559966,11.9669838924783,15.400912712032,10.3815817384106,"High"
"Slovakia",154587,5413191,0.88,28557.4626869807,11.9485123236309,15.5043493105806,10.2596735710146,"High"
"Uzbekistan",137480,38069116,0.74,3611.32630450363,11.8312337309638,17.4549139077056,8.19183038122247,"High"
"Kenya",136014,53330978,0.628,2550.37513094172,11.8205131005966,17.7920279210548,7.84399573750605,"Medium"
"Ecuador",130529,18103660,0.777,7210.08900962568,11.7793507032794,16.7116246857391,8.88323657550455,"High"
"Dominican Republic",129748,10771504,0.776,12045.4859414247,11.7733493866511,16.1924146865509,9.39644525806455,"High"
"Bulgaria",127924,6437360,0.845,19872.1214907975,11.7591916165624,15.6776290761448,9.89707309838186,"High"
"Guatemala",120850,18079810,0.662,6684.2516597243,11.7023053861316,16.7103064040235,8.80750954007237,"Medium"
"Angola",115167,36604681,0.616,3146.23695259084,11.6541385278736,17.4156866863684,8.0539623994694,"Medium"
"Ghana",111963,33742380,0.628,3318.1713915853,11.6259237385544,17.3342651720134,8.10716912450531,"Medium"
"Ethiopia",109492,111652998,0.497,980.64540998711,11.603606766209,18.5309063876589,6.88821093651441,"Low"
"Oman",105190,5357728,0.858,19633.3221843289,11.5635235177333,15.4940505625872,9.8849835131104,"High"
"Croatia",103901,3866233,0.889,26873.9623297406,11.5511938016801,15.1677912059462,10.1989131536981,"High"
"Costa Rica",102637,5191824,0.833,19768.9675150776,11.5389537704914,15.4625956384864,9.89186868996921,"High"
"Luxembourg",100642,681973,0.922,147574.757358429,11.5193249445508,13.4327453465991,11.902090155916,"High"
"Serbia",100048,6567783,0.833,15233.1464057202,11.5134053498071,15.6976868905917,9.63122901717961,"High"
"Ivory Coast",99207,31719275,0.582,3127.65660627489,11.5049638552995,17.2724350982276,8.04803931503621,"Medium"
"Sri Lanka",98964,21781800,0.776,4543.42616312701,11.5025114266214,16.8965853166823,8.42143666790332,"High"
"Lithuania",95274,2896808,0.895,32889.3043653566,11.4645122297542,14.8791199990978,10.4009027886206,"High"
"Panama",90408,4064780,0.839,22241.7941438405,11.41208803804,15.2178701789583,10.009728417046,"High"
"Tanzania",87444,68153004,0.555,1283.0542289816,11.3787538674583,18.0372657943723,7.15699863105022,"Medium"
"Belarus",85739,9109280,0.824,9412.2696854197,11.3590630769162,16.0248042320842,9.14976940279626,"High"
"Uruguay",84986,3499451,0.862,24285.5236435658,11.3502418160246,15.0681166570134,10.0976357169755,"High"
"Venezuela",82767,28517000,0.709,2902.37402251289,11.3237847102063,17.1660109586368,7.97328430953377,"High"
"Slovenia",79221,2130986,0.931,37175.7486909815,11.2799966941712,14.5720953413736,10.5234119107619,"High"
"Azerbaijan",76390,10253647,0.789,7450.0321690419,11.2436070765354,16.1431440051432,8.91597362935648,"High"
"Turkmenistan",72119,7057841,0.764,10218.2806328451,11.1860728114419,15.7696497553354,9.23193361407076,"High"
"Uganda",64993,45905417,0.582,1415.80240955005,11.0820348507708,17.6420936854965,7.25545172323866,"Medium"
"Cameroon",60577,29442327,0.588,2057.48003546051,11.0116705620609,17.1979438908209,7.62923722920427,"Medium"
"Myanmar",60561,51375327,0.609,1178.79541671822,11.0114064005245,17.7546685957239,7.07224836276489,"Medium"
"Tunisia",59069,11972169,0.746,4933.85952035926,10.9864615310908,16.2980952641264,8.50387682492866,"High"
"Bolivia",57086,11365333,0.733,5022.8180731704,10.9523141816937,16.2460783153235,8.5217464243345,"High"
"Jordan",56157,11734000,0.754,4785.83603204363,10.9359066184694,16.2780011684679,8.47341600796577,"High"
"Zimbabwe",53310,17073087,0.598,3122.45817056986,10.8838792098168,16.6530139220056,8.04637584577545,"Medium"
"Cambodia",48802,17577760,0.606,2776.34920490438,10.795526574608,16.6821450245831,7.92889210798917,"Medium"
"Libya",47941,7459000,0.721,6427.26907092103,10.7777263671784,15.8249319149373,8.76830501020539,"High"
"Latvia",47880,1826200,0.889,26218.3769576169,10.7764531596719,14.4177478631644,10.1742158544718,"High"
"Paraguay",47398,6109644,0.756,7757.89882356484,10.7663353127001,15.6253790643112,8.95646680635324,"High"
"Bahrain",47391,1594654,0.899,29718.6725145392,10.7661876162372,14.2821673427691,10.2995308314323,"High"
"Estonia",46763,1369995,0.905,34133.7012178877,10.7528475709275,14.1303176481626,10.4380404807292,"High"
"Nepal",45513,29911840,0.622,1521.57139112806,10.7257532784162,17.213764946601,7.3274988897795,"Medium"
"Cyprus",39943,966400,0.913,41331.7466887417,10.595208716818,13.7813331061627,10.6293861686196,"High"
"Honduras",39445,9892632,0.645,3987.31096031875,10.5826625755292,16.1073007955947,8.29087233789877,"Medium"
"Iceland",38386,393160,0.972,97634.550819005,10.5554480887658,12.8819719326806,11.4889867140495,"High"
"Georgia",37403,3704500,0.844,10096.6392225671,10.5295061940894,15.1250588548388,9.21995789721483,"High"
